Site,Taxa,Depth,Taxa
Australia,Leptastrea pruinosa,0,5
Australia,Leptastrea pruinosa,0,5
Australia,Leptastrea purpurea,0,5
Australia,Leptastrea purpurea,0,5
Australia,Leptastrea pruinosa,0,5
Australia,Leptastrea bewickensis,0,5
Australia,Leptastrea bewickensis,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea transversa,0,5
Australia,Leptastrea inaequalis,0,5
Australia,Leptastrea inaequalis,0,5
Australia,Leptastrea inaequalis,0,5
Australia,Leptastrea inaequalis,0,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea pruinosa,1,5
Australia,Leptastrea transversa,1,5
Australia,Leptastrea transversa,1,5
Australia,Leptastrea inaequalis,1,5
Australia,Leptastrea inaequalis,1,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea purpurea,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea pruinosa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa cf,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea transversa,2,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea purpurea,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea pruinosa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea transversa,3,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea purpurea,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea purpurea,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea pruinosa,4,5
Australia,Leptastrea transversa,4,5
