Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
CookIs,-18.8,-159.76,0.77,0.096645848,0.096645848,0,0,0,1822,8,8,-1,0,1,1,0
CookIs,-18.8,-159.76,0.74,0.071555643,0.071555643,0,0,0,1736,8,8,-1,0,1,1,0
CookIs,-18.8,-159.76,0.97,0.071555643,0.071555643,0,0,0,1714,9,9,-1,0,1,1,0
CookIs,-18.8,-159.76,0.79,0.071555643,0.071555643,0,0,0,1678,8,8,-1,0,1,1,0
CookIs,-18.93,-159.73,0.12,0.071555643,0.071555643,0,0,0,1075,7,7,-1,0,1,1,0
CookIs,-18.93,-159.73,-0.01,0.071555643,0.071555643,0,0,0,12,1,1,-1,0,1,1,0
CookIs,-18.91,-159.73,0.01,0.071555643,0.071555643,0,0,0,5,1,1,-1,0,1,1,0
CookIs,-18.91,-159.73,-0.1,0.071555643,0.071555643,0,0,0,-16,1,1,-1,0,1,1,0
CookIs,-18.8,-159.8,0.8,0.403236903,0.403236903,0,0,0,1581.5,410.5,410.5,0,0,1,1,0
CookIs,-18.8,-159.8,0.6,0.201804361,0.201804361,0,0,0,1524.5,409.5,409.5,0,0,1,1,0
CookIs,-18.8,-159.8,0.8,0.201804361,0.201804361,0,0,0,1587.5,412.5,412.5,0,0,1,1,0
CookIs,-21.2,-159.82,-0.2,0.367424822,0.367424822,0,0,0,247,188,188,0,0,1,1,0
CookIs,-21.2,-159.82,0.06,0.269260097,0.269260097,0,0,0,1110,170,170,-1,0,1,1,0
CookIs,-21.2,-159.82,0.06,0.269260097,0.269260097,0,0,0,1076,176,176,-1,0,1,1,0
CookIs,-21.2,-159.82,0.15,0.270418195,0.270418195,0,0,0,309,181,181,0,0,1,1,0
CookIs,-10.03,-161.09,-8.65,0.187751325,0.153297097,0,0,0,2400,600,600,-1,0,1,1,0
CookIs,-10,-161.1,0.4,0.144568323,0.144568323,0,0,0,4087,309,309,-1,0,1,1,0
CookIs,-21.24,-159.72,1.5,0.441701257,0.441701257,0,0,0,613,217,217,-1,0,1,1,0
CookIs,-21.24,-159.72,1.5,0.441701257,0.441701257,0,0,0,540,135,135,-1,0,1,1,0
CookIs,-21.25,-159.72,0.35,0.441701257,0.441701257,0,0,0,888.5,171.5,171.5,-1,0,1,1,0
CookIs,-21.25,-159.72,0.65,0.441701257,0.441701257,0,0,0,888.5,171.5,171.5,-1,0,1,1,0
CookIs,-21.9,-157.95,1.6,0.349241778,0.349241778,0,0,0,3213.5,607.5,607.5,-1,0,1,1,0
CookIs,-21.9,-157.94,1.1,0.349241778,0.349241778,0,0,0,5197,623,623,-1,0,1,1,0
CookIs,-21.9,-157.94,1.25,0.338333888,0.338333888,0,0,0,5167.5,659.5,659.5,-1,0,1,1,0
CookIs,-21.91,-157.95,1.1,0.338333888,0.338333888,0,0,0,4406,721,721,-1,0,1,1,0
CookIs,-21.92,-157.95,1.325,0.357204171,0.357204171,0,0,0,3360,643,643,-1,0,1,1,0
CookIs,-21.9,-157.94,1.5,0.349241778,0.349241778,0,0,0,3911.5,648.5,648.5,-1,0,1,1,0
CookIs,-21.9,-157.94,0.2,0.335961039,0.335961039,0,0,0,3468,623,623,-1,0,1,1,0
CookIs,-21.91,-157.96,0.2,0.335961039,0.335961039,0,0,0,3868.5,594.5,594.5,-1,0,1,1,0
CookIs,-21.91,-157.95,-0.325,0.369257119,0.368910314,0,0,0,1831,557,557,-1,0,1,1,0
CookIs,-21.91,-157.95,-1.325,0.370662676,0.368910314,0,0,0,2390.5,606.5,606.5,-1,0,1,1,0
CookIs,-18.83,-159.76,-0.86,0.271521638,0.270924344,0,0,0,4802.5,652.5,652.5,-1,0,1,1,0
CookIs,-18.83,-159.76,-2.16,0.273576315,0.270924344,0,0,0,5554,607,607,-1,0,1,1,0
CookIs,-21.2,-159.76,-1.5,0.366311343,0.365239647,0,0,0,6425.5,479.5,479.5,-1,0,1,1,0
CookIs,-21.2,-159.76,-2,0.367211111,0.365239647,0,0,0,6515.5,484.5,484.5,-1,0,1,1,0
