Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Florida,26.25,-80.06,-6.99,0.29,0.29,-6.7,0.230,0.230,6915.5,236.5,236.5,0,0,1,1,12
Florida,25.29,-81,-3.21,0.34,0.34,-2.9,0.290,0.290,4640,194,194,0,0,1,1,13
Florida,25.49,-80.18,-1.31,0.34,0.34,-1,0.280,0.280,2086,212,212,0,0,1,1,13
Florida,25.35,-80.28,-1.81,0.34,0.34,-1.5,0.280,0.280,2679,188,188,0,0,1,1,13
Florida,25.35,-80.28,-2.31,0.34,0.34,-2,0.280,0.280,2956.5,181.5,181.5,0,0,1,1,13
Florida,25.29,-81,-2.81,0.34,0.34,-2.5,0.280,0.280,3358,184,184,0,0,1,1,13
Florida,25.29,-81,-3.31,0.34,0.34,-3,0.280,0.280,4032,193,193,0,0,1,1,13
Florida,25.29,-81,-3.81,0.34,0.34,-3.5,0.280,0.280,4360.5,204.5,204.5,0,0,1,1,13
Florida,25.29,-81,-4.31,0.34,0.34,-4,0.280,0.280,4551,257,257,0,0,1,1,13
Florida,25.29,-81,-4.81,0.34,0.34,-4.5,0.280,0.280,4636.5,192.5,192.5,0,0,1,1,13
Florida,25.29,-81,-5.11,0.34,0.34,-4.8,0.280,0.280,4692,160,160,0,0,1,1,13
Florida,24.44,-81.87,-5.21,0.34,0.34,-4.9,0.280,0.280,5463,141,141,0,0,1,1,13
Florida,25.21,-80.53,-0.34,0.35,0.35,-0.03,0.290,0.290,330.5,175.5,175.5,0,0,1,1,14
Florida,25.89,-80.95,-0.82,0.35,0.35,-0.5,0.290,0.290,1616,197,197,0,0,1,1,14
Florida,25.49,-80.18,-1.32,0.35,0.35,-1,0.290,0.290,2560.5,181.5,181.5,0,0,1,1,14
Florida,25.35,-80.28,-1.82,0.35,0.35,-1.5,0.290,0.290,2573,193,193,0,0,1,1,14
Florida,25.29,-81,-2.32,0.34,0.34,-2,0.290,0.290,4363.5,204.5,204.5,0,0,1,1,14
Florida,25.29,-81,-2.82,0.34,0.34,-2.5,0.290,0.290,4615,205,205,0,0,1,1,14
Florida,25.29,-81,-2.87,0.41,0.41,-2.46,0.340,0.340,3565,147,153,0,0,1,1,15
Florida,25.29,-81,-3.07,0.41,0.41,-2.66,0.340,0.340,3712,147,150,0,0,1,1,15
Florida,25.89,-80.95,-1.18,0.47,0.47,-0.76,0.420,0.420,1548,264,264,0,1,1,1,16
Florida,25.35,-80.28,-1.61,0.42,0.42,-1.2,0.360,0.360,2401.5,340.5,340.5,0,1,1,1,16
Florida,25.35,-80.28,-1.65,0.42,0.42,-1.23,0.370,0.370,2453,300,300,0,1,1,1,16
Florida,24.5,-82.39,-1.63,0.45,0.45,-1.21,0.400,0.400,3020.5,667.5,667.5,0,1,1,1,16
Florida,25.29,-81,-1.62,0.52,0.52,-1.2,0.470,0.470,3161,394,394,0,1,1,1,16
Florida,25.29,-81,-1.96,0.62,0.62,-1.54,0.580,0.580,3318.5,367.5,367.5,0,1,1,1,16
Florida,25.29,-81,-2.49,0.4,0.4,-2.07,0.330,0.330,3522,630,630,0,0,1,1,16
Florida,25.29,-81,-2.34,0.4,0.4,-1.92,0.330,0.330,3598.5,641.5,641.5,0,0,1,1,16
Florida,25.29,-81,-3.29,0.84,0.84,-2.88,0.810,0.810,4583.5,682.5,682.5,0,1,1,1,16
Florida,24.44,-81.87,-3.71,0.63,0.63,-3.29,0.600,0.600,5002.5,589.5,589.5,0,1,1,1,16
Florida,24.7,-82.8,0,0,0,-13.56,0.749,0.737,7598,258,258,-1,0,1,1,0
Florida,25.03,-80.68,-1.07,0.26,0.26,-1.07,0.260,0.260,352,106,94,-1,0,1,1,0
Florida,25.21,-80.53,-1.04,0.28,0.28,-1.04,0.280,0.280,380,97,98,-1,0,1,1,0
Florida,25.89,-80.95,-0.12,0.37,0.37,-0.12,0.370,0.370,1020,256,282,-1,1,1,1,0
