SampleID,Region,Subregion,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
BR-OR-PL-C-19.5,Florida,Florida,26.25,-80.06,0,0,0,-19.5,0.678857312,0.678857312,9031.5,324.5,324.5,2,0,2,1,1,0
BR-OR-PL-C-24.5,Florida,Florida,26.25,-80.06,-24.5,0.678857312,0.678857312,0,0,0,10109,357,357,1,0,2,1,0,0
BR-OR-PL-D-23.0,Florida,Florida,26.25,-80.06,0,0,0,-23,0.678857312,0.678857312,8194,202,202,2,0,2,1,1,0
BR-OR-PL-D-27.0,Florida,Florida,26.25,-80.06,0,0,0,-27,0.678857312,0.678857312,9512,282,282,2,0,2,1,9,0
BR-OR-PT-A-17.5,Florida,Florida,26.25,-80.06,0,0,0,-17.5,0.678857312,0.678857312,8077,226,226,2,0,2,1,1,0
BR-OR-PT-A-20.5,Florida,Florida,26.25,-80.06,0,0,0,-20.5,0.678857312,0.678857312,8547,254,254,2,0,2,1,1,0
BR-OR-PT-B-16.5,Florida,Florida,26.25,-80.06,0,0,0,-16.5,0.678857312,0.678857312,8802.5,265.5,265.5,2,0,2,1,1,0
BR-OR-PT-B-17.5,Florida,Florida,26.25,-80.06,0,0,0,-17.5,0.678857312,0.678857312,8703.5,262.5,262.5,2,0,2,1,1,0
BR-OR-PT-B-26.5,Florida,Florida,26.25,-80.06,0,0,0,-26.5,0.678857312,0.678857312,10820,290,290,2,0,2,1,9,0
BR-OR-PT-C-18.0,Florida,Florida,26.25,-80.06,-18,0.678857312,0.678857312,0,0,0,9327,274,274,-1,0,2,1,0,0
DT-SE-2-16,Florida,Florida,24.6248,-82.8635,0,0,0,-5.2,0.599386588,0.591397506,4092.5,302.5,302.5,2,0,2,1,9,0
DT-SE-2-30,Florida,Florida,24.6248,-82.8635,0,0,0,-9.4,0.67295868,0.647632836,5631,245,245,2,0,2,1,9,0
DT-SE-2-45,Florida,Florida,24.6248,-82.8635,0,0,0,-14,0.703334737,0.647632836,7020.5,262.5,262.5,2,0,2,1,9,0
LK-LK-2-0,Florida,Florida,24.5484,-81.4059,0,0,0,-2.01168,0.543417896,0.543417896,1104.5,106.5,106.5,2,0,2,1,1,0
LK-LK-2-10,Florida,Florida,24.5484,-81.4059,0,0,0,-5.05968,0.607203764,0.604135986,4530.5,315.5,315.5,2,0,2,1,1,0
LK-LK-2-25,Florida,Florida,24.5484,-81.4059,0,0,0,-9.63168,1.617986097,1.61079274,6154,108,108,2,0,2,1,1,0
LK-LK-8-0,Florida,Florida,24.5484,-81.4059,0,0,0,-9.44,0.543417896,0.543417896,196,105,105,2,0,2,1,8,0
LK-MG-1-15,Florida,Florida,24.56,-81.34,0,0,0,-13.572,0.611016828,0.604135986,7712,97,97,2,0,2,1,9,0
LK-MG-2-10,Florida,Florida,24.56,-81.34,0,0,0,-11.5824,1.057684457,1.055926271,5112,144,144,2,0,2,1,3,0
LK-SK-2-1.5,Florida,Florida,24.4547,-81.8517,0,0,0,-9.4972,0.671211161,0.671148873,6195,86,86,2,0,2,1,1,0
LK-SK-2-10,Florida,Florida,24.4547,-81.8517,0,0,0,-12.088,0.512390878,0.508751698,6326,79,79,2,0,2,1,2,0
LK-SK-5-0.7,Florida,Florida,24.4348,-81.87,0,0,0,-11.3,0.509356741,0.509341035,8000,90,90,2,0,2,1,1,0
LK-SK-6-21,Florida,Florida,24.4528,-81.8766,0,0,0,-15.0808,0.5246107,0.508751698,8291,102,102,2,0,2,1,7,0
LK-SK-7-0,Florida,Florida,24.4348,-81.87,0,0,0,-11.08,0.434914946,0.434914946,7981.5,106.5,106.5,2,0,2,1,1,0
MD-IR-BH-16.1,Florida,Florida,25.73,-80.12,0,0,0,-9.8,0.619957458,0.619957458,5719.5,208.5,208.5,2,0,2,1,8,0
