Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
CookIs,-18.8,-159.76,0.77,0.096645848,0.096645848,0,0,0,1822.00,8.00,8.00,-1,0,1,1,0
CookIs,-18.8,-159.76,0.74,0.071555643,0.071555643,0,0,0,1736.00,8.00,8.00,-1,0,1,1,0
CookIs,-18.8,-159.76,0.97,0.071555643,0.071555643,0,0,0,1714.00,9.00,9.00,-1,0,1,1,0
CookIs,-18.8,-159.76,0.79,0.071555643,0.071555643,0,0,0,1678.00,8.00,8.00,-1,0,1,1,0
CookIs,-18.93,-159.73,0.12,0.071555643,0.071555643,0,0,0,1075.00,7.00,7.00,-1,0,1,1,0
CookIs,-18.93,-159.73,-0.01,0.071555643,0.071555643,0,0,0,12.00,1.00,1.00,-1,0,1,1,0
CookIs,-18.91,-159.73,0.01,0.071555643,0.071555643,0,0,0,5.00,1.00,1.00,-1,0,1,1,0
CookIs,-18.91,-159.73,-0.1,0.071555643,0.071555643,0,0,0,-16.00,1.00,1.00,-1,0,1,1,0
CookIs,-18.8,-159.8,0.80,0.403236903,0.403236903,0,0,0,1581.50,410.50,410.50,0,0,1,1,0
CookIs,-18.8,-159.8,0.6,0.201804361,0.201804361,0,0,0,1524.50,409.50,409.50,0,0,1,1,0
CookIs,-18.8,-159.8,0.8,0.201804361,0.201804361,0,0,0,1587.50,412.50,412.50,0,0,1,1,0
CookIs,-21.2,-159.82,-0.2,0.435891041,0.435891041,0,0,0,247.00,188.00,188.00,0,0,1,1,0
CookIs,-21.2,-159.82,0.06,0.269260097,0.269260097,0,0,0,1110.00,170.00,170.00,-1,0,1,1,0
CookIs,-21.2,-159.82,0.06,0.269260097,0.269260097,0,0,0,1076.00,176.00,176.00,-1,0,1,1,0
CookIs,-21.2,-159.82,0.15,0.325001538,0.325001538,0,0,0,309.00,181.00,181.00,0,0,1,1,0
CookIs,-10.03,-161.09,-8.65,0.187751325,0.153297097,0,0,0,2400,600.00,600.00,-1,0,1,1,0
CookIs,-10,-161.1,0.4,0.144568323,0.144568323,0,0,0,4087.00,309.00,309.00,-1,0,1,1,0
CookIs,-21.24,-159.72,1.5,0.441701257,0.441701257,0,0,0,613.00,217.00,217.00,-1,0,1,1,0
CookIs,-21.24,-159.72,1.5,0.441701257,0.441701257,0,0,0,540.00,135.00,135.00,-1,0,1,1,0
CookIs,-21.25,-159.72,0.35,0.441701257,0.441701257,0,0,0,888.50,171.50,171.50,-1,0,1,1,0
CookIs,-21.25,-159.72,0.65,0.441701257,0.441701257,0,0,0,888.50,171.50,171.50,-1,0,1,1,0
CookIs,-21.9,-157.95,1.6,0.349241778,0.349241778,0,0,0,3213.50,607.50,607.50,-1,0,1,1,0
CookIs,-21.9,-157.94,1.1,0.349241778,0.349241778,0,0,0,5197.00,623.00,623.00,-1,0,1,1,0
CookIs,-21.9,-157.94,1.25,0.338333888,0.338333888,0,0,0,5167.50,659.50,659.50,-1,0,1,1,0
CookIs,-21.91,-157.95,1.1,0.338333888,0.338333888,0,0,0,4406.00,721.00,721.00,-1,0,1,1,0
CookIs,-21.92,-157.95,1.325,0.357204171,0.357204171,0,0,0,3360.00,643.00,643.00,-1,0,1,1,0
CookIs,-21.9,-157.94,1.5,0.349241778,0.349241778,0,0,0,3911.50,648.50,648.50,-1,0,1,1,0
CookIs,-21.9,-157.94,0.2,0.335961039,0.335961039,0,0,0,3468.00,623.00,623.00,-1,0,1,1,0
CookIs,-21.91,-157.96,0.2,0.335961039,0.335961039,0,0,0,3868.50,594.50,594.50,-1,0,1,1,0
CookIs,-21.91,-157.95,-0.325,0.369257119,0.368910314,0,0,0,1831.00,557.00,557.00,-1,0,1,1,0
CookIs,-21.91,-157.95,-1.325,0.370662676,0.368910314,0,0,0,2390.50,606.50,606.50,-1,0,1,1,0
CookIs,-18.83,-159.76,-0.86,0.271521638,0.270924344,0,0,0,4802.50,652.50,652.50,-1,0,1,1,0
CookIs,-18.83,-159.76,-2.16,0.273576315,0.270924344,0,0,0,5554.00,607.00,607.00,-1,0,1,1,0
CookIs,-21.2,-159.76,-1.5,0.366311343,0.365239647,0,0,0,6425.50,479.50,479.50,-1,0,1,1,0
CookIs,-21.2,-159.76,-2,0.367211111,0.365239647,0,0,0,6515.50,484.50,484.50,-1,0,1,1,0
