Site,Taxa,Depth,Taxa
Australia,Porites,0,1
Australia,Porites annae,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites,0,1
Australia,Porites sp,0,1
Australia,Porites synaraea rus,0,1
Australia,Porites rus,0,1
Australia,Porites evermanni,1,1
Australia,Porites evermanni,1,1
Australia,Porites annae,1,1
Australia,Porites annae,1,1
Australia,Porites annae,1,1
Australia,Porites annae,1,1
Australia,Porites annae,1,1
Australia,Porites annae,1,1
Australia,Porites vaughani,1,1
Australia,Porites vaughani,1,1
Australia,Porites vaughani,1,1
Australia,Porites vaughani,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites,1,1
Australia,Porites lutea,1,1
Australia,Porites nigrescens,1,1
Australia,Porites nigrescens,1,1
Australia,Porites rus,1,1
Australia,Porites rus,1,1
Australia,Porites cylindrica,1,1
Australia,Porites cylindrica,1,1
Australia,Porites cylindrica,1,1
Australia,Porites cylindrica,1,1
Australia,Porites lichen,1,1
Australia,Porites lichen,1,1
Australia,Porites lichen,1,1
Australia,Porites lichen,1,1
Australia,Porites lichen,1,1
Australia,Porites lichen,1,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites annae,2,1
Australia,Porites vaughani,2,1
Australia,Porites vaughani,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites,2,1
Australia,Porites australiensis,2,1
Australia,Porites lutea,2,1
Australia,Porites lutea,2,1
Australia,Porites lutea,2,1
Australia,Porites lutea,2,1
Australia,Porites lutea,2,1
Australia,Porites lutea,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites nigrescens,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites rus,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites cylindrica,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites lichen,2,1
Australia,Porites solida,2,1
Australia,Porites solida,2,1
Australia,Porites mayeri,3,1
Australia,Porites (Porites) mayeri,3,1
Australia,Porites mayeri,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites evermanni,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites annae,3,1
Australia,Porites vaughani,3,1
Australia,Porites vaughani,3,1
Australia,Porites vaughani,3,1
Australia,Porites vaughani,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites,3,1
Australia,Porites lutea,3,1
Australia,Porites lutea,3,1
Australia,Porites lutea,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites nigrescens,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites rus,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
Australia,Porites cylindrica,3,1
