Site,Taxa,Depth,Taxa
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.1,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.15,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.2,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.25,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.3,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.35,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
