Site,Taxa,Depth,Taxa
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0,9
Caribbean,Orbicella,0.2,9
Caribbean,Orbicella,0.2,9
Caribbean,Orbicella,0.2,9
Caribbean,Orbicella,0.25,9
Caribbean,Orbicella,0.3,9
Caribbean,Orbicella,0.3,9
Caribbean,Orbicella,0.3,9
Caribbean,Orbicella,0.3,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.4,9
Caribbean,Orbicella,0.45,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.5,9
Caribbean,Orbicella,0.55,9
Caribbean,Orbicella,0.55,9
Caribbean,Orbicella,0.55,9
Caribbean,Orbicella,0.55,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.6,9
Caribbean,Orbicella,0.65,9
Caribbean,Orbicella,0.65,9
Caribbean,Orbicella,0.65,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.7,9
Caribbean,Orbicella,0.75,9
Caribbean,Orbicella,0.75,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.8,9
Caribbean,Orbicella,0.85,9
Caribbean,Orbicella,0.85,9
Caribbean,Orbicella,0.85,9
Caribbean,Orbicella,0.85,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.9,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,0.95,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.05,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
Caribbean,Orbicella,1.1,9
