Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Bonaparte Gulf,-12.180,128.030,-140.07,0.744261406,0.744261379,0,0,0,1654,188,176,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.09,0.744261621,0.744261379,0,0,0,11425,279,203,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.2813,0.744274385,0.744261379,0,0,0,10394.5,199.5,203.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.3713,0.744287203,0.744261379,0,0,0,21161,302,291,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.4913,0.744311064,0.744261379,0,0,0,49.5,231.5,48.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.7013,0.74437144,0.744261379,0,0,0,23347.5,336.5,281.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.8013,0.744408517,0.744261379,0,0,0,23347.5,336.5,281.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-141.3913,0.744736571,0.744261379,0,0,0,24042.5,300.5,265.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-141.7213,0.745001503,0.744261379,0,0,0,24049,452,317,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-141.7913,0.745065205,0.744261379,0,0,0,24007,289,248,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.0913,0.744261621,0.744261379,0,0,0,1105.5,154.5,164.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.2813,0.744274385,0.744261379,0,0,0,7848.5,141.5,172.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.5113,0.744315793,0.744261379,0,0,0,7269.5,197.5,224.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.6013,0.744339734,0.744261379,0,0,0,24159,406,348,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-140.8013,0.744408517,0.744261379,0,0,0,24692.5,318.5,365.5,-1,0,1,1,0
Bonaparte Gulf,-12.180,128.030,-141.0713,0.744535452,0.744261379,0,0,0,24342.5,400.5,380.5,-1,0,1,1,0
Bonaparte Gulf,-11.730,127.940,-132.1763,0.744264933,0.744261379,0,0,0,3281.5,524.5,508.5,-1,0,1,1,0
Bonaparte Gulf,-11.730,127.940,-132.9213,0.7444601,0.744261379,0,0,0,17816,2375,2563,-1,0,1,1,0
Bonaparte Gulf,-11.730,127.940,-133.0663,0.744532746,0.744261379,0,0,0,19985.5,2408.5,2246.5,-1,0,1,1,0
Bonaparte Gulf,-11.730,127.940,-134.1063,0.745384337,0.744261379,0,0,0,21754.5,3372.5,3449.5,-1,0,1,1,0
Bonaparte Gulf,-12.100,127.917,-128.2928,0.729773506,0.729759008,0,0,0,10403.5,356.5,275.5,-1,0,1,1,0
Bonaparte Gulf,-12.117,127.934,-127.9328,0.729966417,0.729759008,0,0,0,13043.5,288.5,302.5,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-121.6628,0.729857664,0.729759008,0,0,0,8253.5,266.5,288.5,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-122.8628,0.730646433,0.729759008,0,0,0,19180,669,550,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-123.1628,0.730966627,0.729759008,0,0,0,21181,640,519,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-123.4628,0.731335908,0.729759008,0,0,0,27336,444,459,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-118.4814,0.751342671,0.751295714,0,0,0,12680,395,473,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-119.1914,0.751635557,0.751295714,0,0,0,16176,585,569,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-120.29,1.212025746,1.211175152,0,0,0,18647.5,584.5,549.5,0,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-120.29,1.212025746,1.211175152,0,0,0,18957,488,368,0,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-120.31,1.212040796,1.211175152,0,0,0,19129.5,499.5,455.5,0,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-121.22,1.212864894,1.211175152,0,0,0,19968.5,572.5,625.5,0,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-121.42,1.21308254,1.211175152,0,0,0,20744.5,484.5,406.5,0,0,1,1,0
Bonaparte Gulf,-12.300,128.167,-110.4114,0.751328324,0.751295714,0,0,0,17281.5,533.5,400.5,-1,0,1,1,0
Bonaparte Gulf,-12.300,128.167,-110.4595,0.837381277,0.837343061,0,0,0,18386,395,419,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-107.3195,0.837359208,0.837343061,0,0,0,16885.5,448.5,474.5,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-107.4095,0.83737232,0.837343061,0,0,0,17123.5,613.5,575.5,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-107.4995,0.837389302,0.837343061,0,0,0,18276.5,401.5,410.5,-1,0,1,1,0
Bonaparte Gulf,-12.639,128.617,-96.1595,0.837632021,0.837343061,0,0,0,12838,384,362,-1,0,1,1,0
Bonaparte Gulf,-12.916,124.482,-129.0107,1.47863134,1.47863134,0,0,0,17109.5,456.5,461.5,-1,0,1,1,0
Bonaparte Gulf,-12.916,124.482,-129.0107,1.47863134,1.47863134,0,0,0,21542,440,508,-1,0,1,1,0
Bonaparte Gulf,-11.208,126.326,-105.8841,0.919849489,0.918056819,0,0,0,16921,429,449,-1,0,1,1,0
Bonaparte Gulf,-11.231,128.292,-102.8641,0.914397661,0.912594281,0,0,0,16712,481,528,-1,0,1,1,0
Bonaparte Gulf,-12.691,128.809,-93.1622,1.119925311,1.119313943,0,0,0,15214.5,259.5,222.5,-1,0,1,1,0
Bonaparte Gulf,-12.691,128.809,-96.1622,1.119313943,1.119313943,0,0,0,19795,301,279,-1,0,1,1,0
Bonaparte Gulf,-12.795,128.951,-85.4838,1.216478451,1.216476084,0,0,0,13887,197,198,-1,0,1,1,0
Bonaparte Gulf,-12.795,128.951,-85.46,1.543477212,1.543474672,0,0,0,14477,350,295,0,0,1,1,0
Bonaparte Gulf,-10.450,129.695,-87.01,1.543844715,1.543474672,0,0,0,15013.5,260.5,254.5,0,0,1,1,0
Bonaparte Gulf,-10.450,129.695,-109.8571,0.885400995,0.885283888,0,0,0,20687.5,229.5,245.5,-1,0,1,1,0
Bonaparte Gulf,-14.496,127.946,-20.7669,1.783960171,1.783960171,0,0,0,6404,239,237,-1,0,1,1,0
Northwest Shelf,-18.300,119.100,-123.0231,1.419370784,1.419369375,0,0,0,12608,159,191,-1,0,1,1,0
Northwest Shelf,-18.300,119.100,-123.0231,1.419370784,1.419369375,0,0,0,13558,229,238,-1,0,1,1,0
Northwest Shelf,-18.300,119.100,-123.0231,1.419370784,1.419369375,0,0,0,14216,410,349,-1,0,1,1,0
Northwest Shelf,-18.400,119.950,-108.0374,1.808107157,1.808106051,0,0,0,13710,290,250,-1,0,1,1,0
Northwest Shelf,-18.400,119.950,-108.0374,1.808107157,1.808106051,0,0,0,15071,376,350,-1,0,1,1,0
Northwest Shelf,-18.400,119.950,-108.0374,1.808107157,1.808106051,0,0,0,15295,355,345,-1,0,1,1,0
Northwest Shelf,-17.030,117.950,-124.0084,1.059455673,1.059453785,0,0,0,13444,250,227,-1,0,1,1,0
Northwest Shelf,-17.030,117.950,-124.0084,1.059455673,1.059453785,0,0,0,14301,450,298,-1,0,1,1,0
Northwest Shelf,-17.030,117.950,-124.0084,1.059455673,1.059453785,0,0,0,15396,316,307,-1,0,1,1,0
Northwest Shelf,-18.090,119.700,-148.028,1.562089703,1.562088423,0,0,0,9645,218,160,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-141.2802,0.8651651,0.816735875,0,0,0,16874,209,240,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-140.3002,0.858898789,0.816735875,0,0,0,23665,192,278,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-141.3202,0.865429333,0.816735875,0,0,0,19516,286,259,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-140.4002,0.859519825,0.816735875,0,0,0,23307,327,265,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-141.9102,0.86940295,0.816735875,0,0,0,13458,202,196,-1,0,1,1,0
Northwest Shelf,-20.129,115.039,-147.5702,0.914408514,0.816735875,0,0,0,13661,157,177,-1,0,1,1,0
