Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Wyndham,-15.570,128.140,-3.01165,2.626113986,2.625037071,0,0,0,8241,176,225,0,1,1,2,0
Wyndham,-15.570,128.140,-5.05165,2.627598833,2.625037071,0,0,0,7701,134,119,0,1,1,2,0
Wyndham,-15.549,128.256,-0.70165,3.758547675,3.757914265,0,0,0,7595,75,84,0,1,1,2,0
Cambridge Gulf,-15.280,128.320,-1.1471,1.483968989,1.483968989,0,0,0,7549,286,119,0,1,1,2,0
Cambridge Gulf,-15.280,128.320,-1.1471,1.483968989,1.483968989,0,0,0,7548.5,199.5,218.5,0,1,1,2,0
Wyndham,-15.549,128.256,0.63335,3.758152327,3.757914265,0,0,0,7495,74,67,0,1,1,2,0
Wyndham,-15.570,128.140,-2.17165,2.625686612,2.625037071,0,0,0,7477,98,145,0,1,1,2,0
Wyndham,-15.549,128.256,0.13835,3.758276795,3.757914265,0,0,0,7441,125,121,0,1,1,2,0
Wyndham,-15.570,128.140,-0.81165,2.625222479,2.625037071,0,0,0,7422,138,102,0,1,1,2,0
Wyndham,-15.570,128.140,-0.39665,2.625136955,2.625037071,0,0,0,7368,61,92,0,1,1,2,0
Bonaparte Gulf,-14.860,129.030,0.114,1.570115907,1.569606307,0,0,0,7090,330,140,0,1,1,2,0
Bonaparte Gulf,-14.860,129.030,-0.886,1.570115907,1.569606307,0,0,0,7053,374,410,0,1,1,2,0
Cambridge Gulf,-15.280,128.320,-1.75,1.483968989,1.483968989,0,0,0,7028,536,577,0,1,1,2,0
Wyndham,-15.490,128.104,-2.69165,2.475207681,2.474251326,0,0,0,6720,160,155,0,1,1,2,0
Wyndham,-15.490,128.104,-1.73165,2.474748429,2.474251326,0,0,0,6698,91,133,0,1,1,2,0
Wyndham,-15.490,128.104,-0.87665,2.474464765,2.474251326,0,0,0,6360,84,66,0,1,1,2,0
Wyndham,-15.490,128.104,-0.16665,2.474319,2.474251326,0,0,0,6234,70,214,0,1,1,2,0
Wyndham,-15.549,128.256,2.27835,3.757926022,3.757914265,0,0,0,3385,180,201,0,1,1,2,0
Bonaparte Gulf,-14.860,129.030,0.3081,0.523497851,0.522900564,0,0,0,2817,329,296,1,1,1,2,0
Bonaparte Gulf,-14.860,129.030,0.5581,0.523282906,0.522900564,0,0,0,2205.5,497.5,888.5,1,1,1,2,0
Wyndham,-15.570,128.140,0.52335,2.625040928,2.625037071,0,0,0,1709,24,89,0,1,1,2,0
Bonaparte Gulf,-14.860,129.030,0.7581,0.523115666,0.522900564,0,0,0,1339,470,161,1,1,1,2,0
Bonaparte Gulf,-14.860,129.030,0.3081,0.523497851,0.522900564,0,0,0,1039,269,241,1,1,1,2,0
Wyndham,-15.490,128.104,0.53335,2.474255418,2.474251326,0,0,0,910,48,107,0,1,1,2,0
Wyndham,-15.549,128.256,2.60335,3.757915384,3.757914265,0,0,0,604,42,69,0,1,1,2,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
