Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Kimberley Coast,-16.15,123.61,-1.387,6.173153894,10.63521645,0,0,0,1696.50,182.50,167.50,2,0,2,3,8
Kimberley Coast,-16.15,123.61,-2.34,6.173153894,11.58049347,0,0,0,2279.00,203.00,187.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-0.74,6.173153894,11.58049347,0,0,0,2403.00,253.00,159.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-3.76,6.173153894,11.58049347,0,0,0,2883.00,187.00,156.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-0.38,6.173153894,11.58049347,0,0,0,2883.00,187.00,156.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-1.447,6.173153894,10.63521645,0,0,0,2928.00,199.00,170.00,2,0,2,3,0
Kimberley Coast,-16.15,123.61,-3.357,6.173153894,7.880852048,0,0,0,3183.00,177.00,196.00,2,0,2,3,4
Kimberley Coast,-16.15,123.61,-5.67,6.173153894,11.58049347,0,0,0,3525.50,195.50,167.50,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-4.96,6.173153894,11.58049347,0,0,0,3739.50,180.50,207.50,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-7.18,6.173153894,11.58049347,0,0,0,4783.50,187.50,208.50,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-7.23,6.173153894,11.58049347,0,0,0,5227.00,200.00,214.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-9.26,6.173153894,11.58049347,0,0,0,7699.00,164.00,146.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-11.09,6.173153894,11.58049347,0,0,0,7868.00,135.00,175.00,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-10.79,5.395167189,7.880852048,0,0,0,8107.50,182.50,149.50,2,0,2,3,3
