Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Kimberley Coast,-16.15,123.61,0,0,0,-1.387,6.173153894,10.63521645,1696.5,182.5,167.5,2,0,2,3,8
Kimberley Coast,-16.15,123.61,0,0,0,-2.34,6.173153894,11.58049347,2279,203,187,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-0.74,6.173153894,11.58049347,2403,253,159,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-3.76,6.173153894,11.58049347,2883,187,156,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-0.38,6.173153894,11.58049347,2883,187,156,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-1.447,6.173153894,10.63521645,0,0,0,2928,199,170,-1,0,2,3,0
Kimberley Coast,-16.15,123.61,0,0,0,-3.357,6.173153894,7.880852048,3183,177,196,2,0,2,3,4
Kimberley Coast,-16.15,123.61,0,0,0,-5.67,6.173153894,11.58049347,3525.5,195.5,167.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-4.96,6.173153894,11.58049347,3739.5,180.5,207.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-7.18,6.173153894,11.58049347,4783.5,187.5,208.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-7.23,6.173153894,11.58049347,5227,200,214,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-9.26,6.173153894,11.58049347,7699,164,146,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-11.09,6.173153894,11.58049347,7868,135,175,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0,0,0,-10.79,5.395167189,7.880852048,8107.5,182.5,149.5,2,0,2,3,3
Kimberley Coast,-16.15,123.61,0,0,0,-11.617,6.173153894,8.781106365,8247.5,149.5,194.5,2,0,2,3,5
Kimberley Coast,-16.15,123.61,0,0,0,-14.087,5.395167189,7.880852048,8680.5,273.5,198.5,2,0,2,3,3
Kimberley Coast,-16.41,123.123,0,0,0,-0.2,6.173153894,11.58049347,7242,76,78,2,0,2,3,1
Kimberley Coast,-16.41,123.123,0,0,0,4.5,6.173153894,11.58049347,1722,103,110,2,0,2,3,1
Kimberley Coast,-16.41,123.123,-1.0486,3.620473588,3.620473588,0,0,0,2734,42,216,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-0.1486,3.620473588,3.620473588,0,0,0,5039,241,166,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.6486,3.620473588,3.620473588,0,0,0,5461,119,137,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-0.7486,3.620473588,3.620473588,0,0,0,2464,235,114,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-5.6486,3.620473588,3.620473588,0,0,0,7298,122,127,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-8.4486,3.620473588,3.620473588,0,0,0,7683,98,73,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,0,0,0,0.7,6.173153894,11.58049347,5512,73,183,2,0,2,3,1
Kimberley Coast,-16.41,123.123,-0.2486,3.620473588,3.620473588,0,0,0,1206,64,132,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.2486,3.620473588,3.620473588,0,0,0,2954,119,102,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.9486,3.620473588,3.620473588,0,0,0,1224,62,116,-1,0,2,3,0
