Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Ningaloo Reef,-21.959,114.147,1.34,1.235210168,1.235208549,0,0,0,6427,62,62,0,0,1,6,0
Ningaloo Reef,-21.959,114.146,1.01,1.235215026,1.235208549,0,0,0,6336,161,161,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,0.94,1.235215026,1.235208549,0,0,0,5800,76,76,0,0,1,6,0
Ningaloo Reef,-21.957,114.143,0.47,1.235132407,1.234717807,0,0,0,7045,42,42,0,0,1,6,0
Ningaloo Reef,-21.957,114.143,0.27,1.681012838,1.680993801,0,0,0,6519,24,24,0,0,1,6,0
Ashburton Delta,-21.708,114.905,0.15705,1.127085748,1.122938432,0,0,0,1527,56,100,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,-0.49,1.235525864,1.235208549,0,0,0,6779,44,44,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-0.55,1.235572806,1.235208549,0,0,0,7000,24,24,0,0,1,6,0
Ningaloo Reef,-21.959,114.148,-0.86,1.681075254,1.681074064,0,0,0,6681,23,23,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-1.11,1.219777094,1.218909414,0,0,0,7143,46,46,0,0,1,6,0
Ningaloo Reef,-21.959,114.148,-1.39,1.236065941,1.235317777,0,0,0,7253,86,86,0,0,1,6,0
Ningaloo Reef,-21.959,114.147,-2.01,1.236664934,1.235208549,0,0,0,7498,80,80,0,0,1,6,0
Ningaloo Reef,-21.959,114.146,-2.34,1.236865458,1.235208549,0,0,0,6998,30,30,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,-2.61,1.236970557,1.235208549,0,0,0,7165,51,51,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-2.70,1.236970557,1.235208549,0,0,0,7562,35,35,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-2.81,1.237305201,1.235208549,0,0,0,7929,318,318,0,0,1,6,0
Ningaloo Reef,-21.959,114.148,-3.83,1.221774942,1.219020102,0,0,0,7500,23,23,0,0,1,6,0
Ashburton Delta,-21.708,114.905,-6.4349,0.57338535,0.545252235,0,0,0,8098,74,90,-1,0,1,6,0
North West Cape,-21.841,114.048,1.0309,0.17171092,0.171464282,0,0,0,5464,109,130,-1,0,1,6,0
Exmouth Gulf,-22.586,114.123,3.27,0.258670137,0.258650343,0,0,0,31,5,5,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,2.61,0.25899722,0.258650343,0,0,0,113,10,10,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,2.74,0.2588,0.258650343,0,0,0,117,11,11,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,2.74,0.2588,0.258650343,0,0,0,106,12,12,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,2.44,0.258694878,0.258650343,0,0,0,207,44,44,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,3.81,0.258756179,0.258650343,0,0,0,586,50,50,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,2.67,0.288556962,0.288156347,0,0,0,5989,430,430,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,3.70,0.258710958,0.258650343,0,0,0,1228,59,59,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,3.70,0.25896687,0.258650343,0,0,0,1226,78,78,1,0,1,6,0
Exmouth Gulf,-22.586,114.123,3.28,0.259275915,0.258650343,0,0,0,2110,143,143,1,0,1,6,0
