Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Shark Bay,-25.9,114,-2.0593,0.837915009,0.837914412,0,0,0,489,130,137,-1,0,1,5,0
Shark Bay,-25.9,114,-2.6393,0.838009142,0.837914412,0,0,0,1420,146,138,-1,0,1,5,0
Shark Bay,-25.9,114,-3.0593,0.838177524,0.837914412,0,0,0,3854,200,178,-1,0,1,5,0
Shark Bay,-25.9,114,-4.6393,0.839563769,0.837914412,0,0,0,5376,181,158,-1,0,1,5,0
Shark Bay,-25.28,113.97,-1.0134,0.751115464,0.751048893,0,0,0,18,15,15,-1,0,1,5,0
Shark Bay,-25.28,113.97,-1.2934,0.751210889,0.751048893,0,0,0,36,47,35,-1,0,1,5,0
Shark Bay,-25.28,113.97,-1.9634,0.751608568,0.751048893,0,0,0,75,146,74,-1,0,1,5,0
Shark Bay,-25.28,113.97,-2.1134,0.751730297,0.751048893,0,0,0,65,139,64,-1,0,1,5,0
Shark Bay,-25.28,113.97,-2.3634,0.751959733,0.751048893,0,0,0,179,127,178,-1,0,1,5,0
Shark Bay,-25.28,113.97,-2.8134,0.752456271,0.751048893,0,0,0,131,138,130,-1,0,1,5,0
Shark Bay,-25.28,113.97,-3.2634,0.753060051,0.751048893,0,0,0,94,143,93,-1,0,1,5,0
Shark Bay,-25.28,113.97,-4.2634,0.754784367,0.751048893,0,0,0,779,141,131,-1,0,1,5,0
Shark Bay,-25.28,113.97,-4.4134,0.755088366,0.751048893,0,0,0,4032,203,198,-1,0,1,5,0
Shark Bay,-25.28,113.97,-4.6634,0.755621228,0.751048893,0,0,0,6355,175,163,-1,0,1,5,0
Shark Bay,-25.28,113.97,-4.9134,0.756186776,0.751048893,0,0,0,6465,175,172,-1,0,1,5,0
Shark Bay,-25.28,114,-2.2134,0.751147271,0.75113662,0,0,0,62,132,61,-1,0,1,5,0
Shark Bay,-25.28,114,-5.0334,0.753561134,0.75113662,0,0,0,709,151,141,-1,0,1,5,0
Shark Bay,-25.28,114,-6.0134,0.755384817,0.75113662,0,0,0,1686,175,164,-1,0,1,5,0
Shark Bay,-25.77,114.09,-3.5584,0.75775293,0.75775227,0,0,0,1100,150,150,-1,0,1,5,0
Shark Bay,-25.77,114.09,-4.1084,0.757847282,0.75775227,0,0,0,1784,167,173,-1,0,1,5,0
Shark Bay,-25.77,114.09,-4.4084,0.75796603,0.75775227,0,0,0,3508,174,154,-1,0,1,5,0
Shark Bay,-25.77,114.09,-4.6584,0.758101248,0.75775227,0,0,0,3820,192,197,-1,0,1,5,0
Shark Bay,-25.77,114.09,-4.8084,0.758198195,0.75775227,0,0,0,5704,180,147,-1,0,1,5,0
Shark Bay,-25.77,114.09,-5.1584,0.758470502,0.75775227,0,0,0,6022,170,156,-1,0,1,5,0
Shark Bay,-26.39,114.17,2.775,3.023650516,3.023650516,0,0,0,287,200,286,0,0,1,5,0
Shark Bay,-26.39,114.17,2.815,3.023650516,3.023650516,0,0,0,516,108,177,0,0,1,5,0
Shark Bay,-26.39,114.17,2.875,3.023650516,3.023650516,0,0,0,558,90,53,0,0,1,5,0
Shark Bay,-26.39,114.17,2.925,3.023650516,3.023650516,0,0,0,551,93,50,0,0,1,5,0
Shark Bay,-26.39,114.17,2.975,3.023650516,3.023650516,0,0,0,1005,170,82,0,0,1,5,0
Shark Bay,-26.39,114.17,3.005,3.023650516,3.023650516,0,0,0,855,189,128,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.23,0.540982846,0.540982846,0,0,0,513,120,187,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.2,0.540982846,0.540982846,0,0,0,762,165,192,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.21,0.540982846,0.540982846,0,0,0,771,183,198,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.16,0.540982846,0.540982846,0,0,0,532,120,197,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.15,0.540982846,0.540982846,0,0,0,676,113,119,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.09,0.540982846,0.540982846,0,0,0,537,129,209,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.07,0.540982846,0.540982846,0,0,0,544,114,88,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.68,0.540982846,0.540982846,0,0,0,816,236,243,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.58,0.540982846,0.540982846,0,0,0,802,122,122,0,0,1,5,0
Shark Bay,-26.39,114.17,0.01,0.540982846,0.540982846,0,0,0,1000,177,201,0,0,1,5,0
Shark Bay,-26.39,114.17,2.735,3.023650516,3.023650516,0,0,0,498,129,175,0,0,1,5,0
Shark Bay,-26.39,114.17,2.745,3.023650516,3.023650516,0,0,0,676,113,119,0,0,1,5,0
Shark Bay,-26.39,114.17,2.825,3.023650516,3.023650516,0,0,0,1089,177,154,0,0,1,5,0
Shark Bay,-26.39,114.17,2.775,3.023650516,3.023650516,0,0,0,676,113,119,0,0,1,5,0
Shark Bay,-26.39,114.17,2.905,3.023650516,3.023650516,0,0,0,636,93,89,0,0,1,5,0
Shark Bay,-26.39,114.17,2.945,3.023650516,3.023650516,0,0,0,774,142,100,0,0,1,5,0
Shark Bay,-26.39,114.17,2.975,3.023650516,3.023650516,0,0,0,1100,169,142,0,0,1,5,0
Shark Bay,-26.39,114.17,3.005,3.023650516,3.023650516,0,0,0,792,129,112,0,0,1,5,0
Shark Bay,-26.35,113.98,-0.355,0.588372578,0.588372578,0,0,0,1324,191,146,0,0,1,5,0
Shark Bay,-26.35,113.98,-0.305,0.588372578,0.588372578,0,0,0,1394,140,104,0,0,1,5,0
Shark Bay,-26.35,113.98,-0.28,0.588372578,0.588372578,0,0,0,1559,174,191,0,0,1,5,0
Shark Bay,-26.35,113.98,-1.455,0.588372578,0.588372578,0,0,0,592,61,77,0,0,1,5,0
Shark Bay,-26.35,113.98,-1.155,0.588372578,0.588372578,0,0,0,747,167,88,0,0,1,5,0
Shark Bay,-26.35,113.98,-0.285,0.588372578,0.588372578,0,0,0,844,114,155,0,0,1,5,0
Shark Bay,-26.35,113.98,-0.305,0.588372578,0.588372578,0,0,0,850,110,162,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.045,1.362887538,1.362887538,0,0,0,600,70,86,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.0675,1.362887538,1.362887538,0,0,0,812,116,131,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.0925,1.362887538,1.362887538,0,0,0,498,129,175,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.1175,1.362887538,1.362887538,0,0,0,643,91,95,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.155,1.362887538,1.362887538,0,0,0,676,120,126,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.205,1.362887538,1.362887538,0,0,0,676,120,126,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.2575,1.362887538,1.362887538,0,0,0,841,84,103,0,0,1,5,0
Shark Bay,-26.39,114.17,-0.3175,1.362887538,1.362887538,0,0,0,733,173,164,0,0,1,5,0
Shark Bay,-26.385,114.164,-0.0116,0.529200161,0.529200161,0,0,0,61,161,60,-1,0,1,5,0
Shark Bay,-31.9,115.967,-3.711,0.544701847,0.544701847,0,0,0,7295,592,632,-1,0,1,5,0
Shark Bay,-31.9,115.967,2.989,0.544701847,0.544701847,0,0,0,3419,1858,1674,1,0,1,5,0
