Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-20,7.039447763,13.02128353,9800,95,95,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-18.5,7.039447763,13.02128353,9610,50,50,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-18.5,7.039447763,13.02128353,9480,50,50,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-18.5,7.039447763,13.02128353,9478,77,77,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-14.8,7.039447763,13.02128353,9345,70,70,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-12.1,7.039447763,13.02128353,8990,171,171,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-15.7,7.039447763,13.02128353,8655,327,203,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-9.1,7.039447763,13.02128353,8619,48,48,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-2.5,7.039447763,13.02128353,8119,44,44,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-6,7.039447763,13.02128353,7996,103,103,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-0.1,7.039447763,13.02128353,7842,74,74,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,2.8,7.039447763,13.02128353,7099,69,69,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-9.2,7.039447763,13.02128353,7099,40,40,2,0,2,6,7
Houtman Abrolhos Islands,-28.407,113.498,0,0,0,6.42,7.044055991,13.02377537,6919,33,33,2,0,2,6,7
Houtman Abrolhos Islands,-28.40865,113.498,0,0,0,6.62,7.044055991,13.02377537,6832,34,34,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,3.7,7.039447763,13.02128353,6714,55,55,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-6.15,7.039447763,13.02128353,6357,37,37,2,0,2,6,7
Houtman Abrolhos Islands,-28.41,113.499,0,0,0,5.8,7.044055991,13.02377537,6323,23,23,2,0,2,6,7
Sandland Island,-30.2,115.02,8.988083333,3.001682861,3.001682861,0,0,0,6082,201,174,1,0,1,6,0
Moore River,-31.31,115.51,24.98803333,5.001009898,5.001009898,0,0,0,5951,238,213,1,0,1,6,0
Houtman Abrolhos Islands,-28.408,113.498,0,0,0,6.46,7.044055991,13.02377537,5825,30,30,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,-1.55,7.039447763,13.02128353,5802,75,75,2,0,2,6,7
Houtman Abrolhos Islands,-28.45,113.75,0,0,0,4.9,7.039447763,13.02128353,4671,82,82,2,0,2,6,7
Houtman Abrolhos Islands,-28.411,113.499,0,0,0,6.03,7.044055991,13.02377537,3867,28,28,2,0,2,6,7
Houtman Abrolhos Islands,-28.411,113.4993,0,0,0,5.78,7.044055991,13.02377537,3831,33,33,2,0,2,6,7
Houtman Abrolhos Islands,-28.411,113.4991,0,0,0,5.67,7.044055991,13.02377537,3226,56,56,2,0,2,6,7
Houtman Abrolhos Islands,-28.4111,113.4991,0,0,0,5.73,7.044055991,13.02377537,2335,13,13,2,0,2,6,7
Sandy Point,-30.07,115.01,5.988133333,1.005037313,1.005037313,0,0,0,1245,158,179,1,0,1,6,0
Houtman Abrolhos Islands,-28.412,113.49819,0,0,0,5.46,7.044055991,13.02377537,1058,10,10,2,0,2,6,7
