Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Northcliffe,-34.380,115.520,-0.0083,0.141774469,0.141774469,0,0,0,9272,261,273,1,0,1,7,0
Bouvard Reefs,-32.810,115.640,-6.13,0.715052491,0.704911388,0,0,0,8164,691,583,0,0,1,7,0
Becher/Rockingham,-32.280,115.710,2.47185,0.827284754,0.827284754,0,0,0,7852,779,848,0,0,1,7,0
Bouvard Reefs,-32.810,115.640,-2.01,0.569473441,0.568066897,0,0,0,7765,228,214,-1,0,1,7,0
Bouvard Reefs,-32.810,115.640,-2.01,0.569473441,0.568066897,0,0,0,7672,616,570,-1,0,1,7,0
Becher/Rockingham,-32.290,115.710,2.47185,0.827284754,0.827284754,0,0,0,7635,962,1134,0,0,1,7,0
Becher Point,-32.280,115.710,2.37185,0.842258906,0.840773492,0,0,0,7254,220,299,0,0,1,7,0
Peel-Harvey Estuary,-32.550,115.720,0.99,0.568066897,0.568066897,0,0,0,7228,704,776,-1,0,1,7,0
Rottnest Island,-31.997,115.543,-0.2215,0.100995049,0.100995049,0,0,0,7032,601,650,-1,0,1,7,0
Bouvard Reefs,-33.140,115.690,-1.01,0.56841886,0.568066897,0,0,0,6963,458,467,-1,0,1,7,0
Peel-Harvey Estuary,-32.590,115.690,1.49,0.568066897,0.568066897,0,0,0,6946,615,635,-1,0,1,7,0
Minninup,-33.300,115.660,-1.761,0.100995049,0.100995049,0,0,0,6941,272,273,-1,0,1,7,0
Rottnest Island,-31.997,115.543,0.3035,0.100995049,0.100995049,0,0,0,6913,1051,1090,-1,0,1,7,0
Minninup,-33.300,115.660,-0.511,0.100995049,0.100995049,0,0,0,6861,328,339,-1,0,1,7,0
Rottnest Island,-31.997,115.543,0.0885,0.100995049,0.100995049,0,0,0,6820,1599,1676,-1,0,1,7,0
Peel-Harvey Estuary,-32.510,115.730,0.99,1.1225863,1.1225863,0,0,0,6559,593,530,-1,0,1,7,0
Becher Point,-32.370,115.720,4.6188,0.820666802,0.820563831,0,0,0,6515,426,395,1,0,1,7,0
Becher/Rockingham,-32.280,115.710,2.27185,0.827284754,0.827284754,0,0,0,6474,422,474,0,0,1,7,0
Becher Point,-32.280,115.710,2.27185,0.827284754,0.827284754,0,0,0,6423,247,224,0,0,1,7,0
Bouvard Reefs,-33.140,115.690,-1.01,0.56841886,0.568066897,0,0,0,6410,222,186,-1,0,1,7,0
Becher Point,-32.280,115.710,1.77185,0.827284754,0.827284754,0,0,0,6179,217,244,0,0,1,7,0
Rottnest Island,-32.010,115.520,2.07,0.399908482,0.399908482,0,0,0,6142,147,147,0,0,1,7,0
Peel-Harvey Estuary,-32.590,115.690,1.49,0.568066897,0.568066897,0,0,0,6135,144,136,-1,0,1,7,0
Rottnest Island,-31.997,115.543,0.8285,0.100995049,0.100995049,0,0,0,6119,1073,1086,-1,0,1,7,0
Rottnest Island,-31.997,115.543,0.8285,0.100995049,0.100995049,0,0,0,6112,1379,1462,-1,0,1,7,0
Rottnest Island,-31.997,115.543,1.374,0.399908482,0.399908482,0,0,0,5900,1506,1567,0,0,1,7,0
Rottnest Island,-31.997,115.543,1.0535,0.100995049,0.100995049,0,0,0,5876,2310,2536,-1,0,1,7,0
Rottnest Island,-32.010,115.520,2.07,0.399908482,0.399908482,0,0,0,5839,156,177,0,0,1,7,0
Rottnest Island,-31.997,115.543,0.7535,0.100995049,0.100995049,0,0,0,5758,1485,1542,-1,0,1,7,0
Rottnest Island,-31.997,115.543,0.7785,0.100995049,0.100995049,0,0,0,5685,582,614,-1,0,1,7,0
Minninup,-33.300,115.660,-0.011,0.100995049,0.100995049,0,0,0,5587,255,251,-1,0,1,7,0
Bouvard Reefs,-32.460,115.750,1.99,0.569473441,0.568066897,0,0,0,5516,660,660,-1,0,1,7,0
Peel-Harvey Estuary,-32.550,115.720,1.06,0.568066897,0.568066897,0,0,0,5433,164,344,-1,0,1,7,0
Cape Naturaliste,-33.530,115.020,1.2682,0.652783756,0.652783756,0,0,0,5327,145,275,0,0,1,7,0
Rottnest Island,-31.997,115.543,0.7535,0.100995049,0.100995049,0,0,0,5212,908,957,-1,0,1,7,0
Becher Point,-32.370,115.720,4.4188,0.771679338,0.771492061,0,0,0,5201,384,355,1,0,1,7,0
Peel-Harvey Estuary,-32.590,115.690,1.49,0.568066897,0.568066897,0,0,0,5114,197,244,-1,0,1,7,0
Becher Point,-32.390,115.740,1.47185,1.389077165,1.388902938,0,0,0,5043,258,198,0,0,1,7,0
Peel-Harvey Estuary,-32.590,115.690,1.49,0.568066897,0.568066897,0,0,0,4987,329,403,-1,0,1,7,0
Peel-Harvey Estuary,-32.510,115.730,0.99,1.1225863,1.1225863,0,0,0,4948,347,323,-1,0,1,7,0
Rottnest Island,-32.010,115.520,1.77,0.399908482,0.399908482,0,0,0,4932,340,107,0,0,1,7,0
Peel-Harvey Estuary,-32.510,115.730,0.99,1.1225863,1.1225863,0,0,0,4904,307,248,-1,0,1,7,0
