Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,,,,
CookIs,-18.8,-159.76,0.77,0.096645848,0.096645848,0,0,0,1822.00,8,8,-1,0,1,1,0,,,,
CookIs,-18.8,-159.76,0.74,0.071555643,0.071555643,0,0,0,1736.00,8,8,-1,0,1,1,0,,,,
CookIs,-18.8,-159.76,0.97,0.071555643,0.071555643,0,0,0,1714.00,9,9,-1,0,1,1,0,,,,
CookIs,-18.8,-159.76,0.79,0.071555643,0.071555643,0,0,0,1678.00,8,8,-1,0,1,1,0,,,,
CookIs,-18.93,-159.73,0.12,0.071555643,0.071555643,0,0,0,1075.00,7,7,-1,0,1,1,0,,,,
CookIs,-18.93,-159.73,-0.01,0.071555643,0.071555643,0,0,0,12.00,1,1,-1,0,1,1,0,,,,
CookIs,-18.91,-159.73,0.01,0.071555643,0.071555643,0,0,0,5.00,1,1,-1,0,1,1,0,,,,
CookIs,-18.91,-159.73,-0.1,0.071555643,0.071555643,0,0,0,-16.00,1,1,-1,0,1,1,0,,,,
CookIs,-18.8,-159.8,0.80,0.403236903,0.403236903,0,0,0,1581.50,410.5,410.5,0,0,1,1,0,,,,
CookIs,-18.8,-159.8,0.6,0.201804361,0.201804361,0,0,0,1524.50,409.5,409.5,0,0,1,1,0,,,,
CookIs,-18.8,-159.8,0.8,0.201804361,0.201804361,0,0,0,1587.50,412.5,412.5,0,0,1,1,0,,,,
CookIs,-21.20,-159.82,-0.2,0.435891041,0.435891041,0,0,0,247.00,188,188,0,0,1,1,0,,,,
CookIs,-21.20,-159.82,0.06,0.269260097,0.269260097,0,0,0,1110.00,170,170,-1,0,1,1,0,,,,
CookIs,-21.20,-159.82,0.06,0.269260097,0.269260097,0,0,0,1076.00,176,176,-1,0,1,1,0,,,,
CookIs,-21.20,-159.82,0.15,0.325001538,0.325001538,0,0,0,309.00,181,181,0,0,1,1,0,,,,
CookIs,-10.03,-161.09,-8.65,0.187751325,0.153297097,0,0,0,2400,600,600,-1,0,1,1,0,,,,
CookIs,-10.00,-161.10,0.4,0.144568323,0.144568323,0,0,0,4087.00,309,309,-1,0,1,1,0,,,,
CookIs,-21.25,-159.72,0.35,0.441701257,0.441701257,0,0,0,888.50,171.5,171.5,-1,0,1,1,0,,,,
CookIs,-21.250,-159.720,0.65,0.441701257,0.441701257,0,0,0,888.50,171.5,171.5,-1,0,1,1,0,,,,
CookIs,-21.90,-157.95,1.6,0.349241778,0.349241778,0,0,0,3213.50,607.5,607.5,-1,0,1,1,0,,,,
CookIs,-21.90,-157.94,1.1,0.349241778,0.349241778,0,0,0,5197.00,623,623,-1,0,1,1,0,,,,
CookIs,-21.90,-157.94,1.25,0.338333888,0.338333888,0,0,0,5167.50,659.5,659.5,-1,0,1,1,0,,,,
CookIs,-21.91,-157.95,1.1,0.338333888,0.338333888,0,0,0,4406.00,721,721,-1,0,1,1,0,,,,
CookIs,-21.92,-157.95,1.325,0.357204171,0.357204171,0,0,0,3360.00,643,643,-1,0,1,1,0,,,,
CookIs,-21.90,-157.94,1.5,0.349241778,0.349241778,0,0,0,3911.50,648.5,648.5,-1,0,1,1,0,,,,
CookIs,-21.90,-157.94,0.2,0.335961039,0.335961039,0,0,0,3468.00,623,623,-1,0,1,1,0,,,,
CookIs,-21.91,-157.96,0.2,0.335961039,0.335961039,0,0,0,3868.50,594.5,594.5,-1,0,1,1,0,,,,
CookIs,-21.91,-157.95,-0.325,0.369257119,0.368910314,0,0,0,1831.00,557,557,-1,0,1,1,0,,,,
CookIs,-21.91,-157.95,-1.325,0.370662676,0.368910314,0,0,0,2390.50,606.5,606.5,-1,0,1,1,0,,,,
CookIs,-18.83,-159.76,-0.86,0.271521638,0.270924344,0,0,0,4802.50,652.5,652.5,-1,0,1,1,0,,,,
CookIs,-18.83,-159.76,-2.16,0.273576315,0.270924344,0,0,0,5554.00,607,607,-1,0,1,1,0,,,,
CookIs,-21.20,-159.76,-1.5,0.366311343,0.365239647,0,0,0,6425.50,479.5,479.5,-1,0,1,1,0,,,,
CookIs,-21.20,-159.76,-2,0.367211111,0.365239647,0,0,0,6515.50,484.5,484.5,-1,0,1,1,0,,,,
