Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,,,,,
Fiji,-18.24,178.09,1.708888889,0.623557842,0.623557842,0,0,0,4147,368,368,1,0,1,1,0,,,,,
Fiji,-18.24,178.09,1.508888889,0.623557842,0.623557842,0,0,0,4456.5,361.5,361.5,1,0,1,1,0,,,,,
Fiji,-17.52,177.57,-1.261590909,0.795983104,0.795983104,0,0,0,3531.5,168.5,168.5,-1,0,1,1,0,,,,,
Fiji,-17.52,177.57,-1.511590909,0.795983104,0.795983104,0,0,0,1044.5,210.5,210.5,-1,0,1,1,0,,,,,
Fiji,-17.42,177.92,-0.994090909,0.82439262,0.82439262,0,0,0,4650,245,245,-1,0,1,1,0,,,,,
Fiji,-17.42,177.92,-1.094090909,0.82439262,0.82439262,0,0,0,3368,244,244,-1,0,1,1,0,,,,,
Fiji,-17.39,178.01,-1.289767442,0.792732334,0.792732334,0,0,0,2164.5,224.5,224.5,-1,0,1,1,0,,,,,
Fiji,-17.39,178.01,-1.339767442,0.792732334,0.792732334,0,0,0,1902.5,175.5,175.5,-1,0,1,1,0,,,,,
Fiji,-18.18,178.19,-2.63,0.68649472,0.679889697,0,0,0,4481,547,547,-1,0,1,1,0,,,,,
Fiji,-18.2,177.6,1.7,0.730878942,0.730878942,0,0,0,2991.5,196.5,196.5,-1,0,1,1,0,,,,,
Fiji,-18.24,-178.77,0.47,0.650691939,0.650691939,0,0,0,4876.5,256.5,256.5,-1,0,1,1,0,,,,,
Fiji,-18.66,-178.49,1.05,0.624039262,0.624039262,0,0,0,4289.5,231.5,231.5,-1,0,1,1,0,,,,,
Fiji,-18.21,-178.84,0.47,0.550817574,0.550817574,0,0,0,4141.5,225.5,225.5,-1,0,1,1,0,,,,,
Fiji,-18.19,-178.83,0.77,0.550817574,0.550817574,0,0,0,4103,242,242,-1,0,1,1,0,,,,,
Fiji,-18.66,-178.49,0.65,0.624039262,0.624039262,0,0,0,3631.5,218.5,218.5,-1,0,1,1,0,,,,,
Fiji,-18.7,-178.5,0.38,0.619193023,0.619193023,0,0,0,2306,218,218,-1,0,1,1,0,,,,,
Fiji,-16.8,179.4,0.95,0.546190443,0.546190443,0,0,0,5923.5,440.5,440.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,1.7,0.650691939,0.650691939,0,0,0,4750,221,221,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,1.8,0.650691939,0.650691939,0,0,0,5458,180,180,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,1.6,0.650691939,0.650691939,0,0,0,5155.5,229.5,229.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.23,0.650691939,0.650691939,0,0,0,5118,207,207,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.15,0.650691939,0.650691939,0,0,0,4967.5,225.5,225.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.2,0.650691939,0.650691939,0,0,0,4758.5,222.5,222.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,1.5,0.650691939,0.650691939,0,0,0,3251.5,179.5,179.5,-1,0,1,1,0,,,,,
Fiji,-18.2,-178.8,-2.065277778,0.438623777,0.438623777,0,0,0,3016.5,359.5,359.5,-1,0,1,1,0,,,,,
Fiji,-17.68,177.38,-0.66,0.756703376,0.756703376,0,0,0,6434,177,177,-1,0,1,1,0,,,,,
Fiji,-17.68,177.38,-0.66,0.756703376,0.756703376,0,0,0,6312.5,181.5,181.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.42,0.658331224,0.658331224,0,0,0,2982.5,222.5,222.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.39,0.658331224,0.658331224,0,0,0,4555.5,240.5,240.5,-1,0,1,1,0,,,,,
Fiji,-17.7,178.8,0.42,0.658331224,0.658331224,0,0,0,5770.5,200.5,200.5,-1,0,1,1,0,,,,,
Fiji,-17.16,-179.04,0.9,1.152968728,1.152968728,0,0,0,3601.5,210.5,210.5,0,0,1,1,0,,,,,
Fiji,-17.19,-178.91,0.2,0.554025671,0.554025671,0,0,0,4197.5,224.5,224.5,-1,0,1,1,0,,,,,
Fiji,-18.18,178.19,2.06,0.730838559,0.730410843,0,0,0,1479,403,403,1,0,1,1,0,,,,,
Fiji,-18.18,178.19,1.275,0.7346768,0.734251319,0,0,0,2578,488,488,1,0,1,1,0,,,,,
Fiji,-18.18,178.20,0.455,0.727540679,0.727409788,0,0,0,2690,634,634,1,0,1,1,0,,,,,
Fiji,-18.18,178.19,0.355,0.735085029,0.734251319,0,0,0,2626,477,477,1,0,1,1,0,,,,,
Fiji,-18.18,178.20,-0.15,0.724206987,0.723688469,0,0,0,2273.5,569.5,569.5,1,0,1,1,0,,,,,
