Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,,,,,
LineIs,1.77,-157.34,0.50,0.60,0.60,0,0,0,3654.5,228.5,228.5,1,0,1,1,0,,,,,
LineIs,1.77,-157.34,0.50,0.61,0.61,0,0,0,3494.5,248.5,248.5,1,0,1,1,0,,,,,
LineIs,1.83,-157.40,0.40,0.67,0.67,0,0,0,5320,277,277,1,0,1,1,0,,,,,
LineIs,1.83,-157.40,0.90,0.63,0.63,0,0,0,3589.5,223.5,223.5,1,0,1,1,0,,,,,
LineIs,1.83,-157.40,0.70,0.63,0.63,0,0,0,3744.5,261.5,261.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,0.60,0.63,0.63,0,0,0,1687.5,258.5,258.5,1,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.06,0.28,0.28,0,0,0,770,128,128,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.06,0.28,0.28,0,0,0,609.5,111.5,111.5,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,1074,149,149,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,1528,155,155,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,749.5,137.5,137.5,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,612.5,112.5,112.5,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,615.5,114.5,114.5,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,590,110,110,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,673.5,132.5,132.5,0,0,1,1,0,,,,,
LineIs,1.86,-157.50,-0.10,0.28,0.28,0,0,0,646,122,122,0,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.54,0.12,0.12,0,0,0,1425.5,136.5,136.5,1,0,1,1,0,,,,,
LineIs,1.73,-157.21,0.62,0.12,0.12,0,0,0,3960,600,600,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.62,0.12,0.12,0,0,0,4220,175,175,1,0,1,1,0,,,,,
LineIs,1.73,-157.21,0.65,0.12,0.12,0,0,0,1882,187,187,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.67,0.12,0.12,0,0,0,1874.5,194.5,194.5,1,0,1,1,0,,,,,
LineIs,1.73,-157.21,0.67,0.12,0.12,0,0,0,3722.5,164.5,164.5,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.72,0.12,0.12,0,0,0,1340,490,490,1,0,1,1,0,,,,,
LineIs,1.74,-157.21,0.73,0.12,0.12,0,0,0,4331,174,174,1,0,1,1,0,,,,,
LineIs,1.74,-157.21,0.75,0.12,0.12,0,0,0,1697.5,200.5,200.5,1,0,1,1,0,,,,,
LineIs,1.74,-157.21,0.76,0.12,0.12,0,0,0,1697.5,200.5,200.5,1,0,1,1,0,,,,,
LineIs,1.74,-157.21,0.77,0.12,0.12,0,0,0,1668,148,148,1,0,1,1,0,,,,,
LineIs,1.73,-157.23,0.78,0.12,0.12,0,0,0,1697.5,200.5,200.5,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.79,0.12,0.12,0,0,0,1668,148,148,1,0,1,1,0,,,,,
LineIs,1.73,-157.23,0.79,0.12,0.12,0,0,0,1745,202,202,1,0,1,1,0,,,,,
LineIs,1.73,-157.23,0.80,0.12,0.12,0,0,0,1862.5,234.5,234.5,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.82,0.12,0.12,0,0,0,2259,166,166,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.86,0.12,0.12,0,0,0,2048.5,231.5,231.5,1,0,1,1,0,,,,,
LineIs,1.73,-157.23,0.87,0.12,0.12,0,0,0,1903,162,162,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.88,0.12,0.12,0,0,0,1761.5,160.5,160.5,1,0,1,1,0,,,,,
LineIs,1.72,-157.23,0.88,0.12,0.12,0,0,0,1619,152,152,1,0,1,1,0,,,,,
LineIs,1.74,-157.22,0.90,0.12,0.12,0,0,0,2845,139,139,1,0,1,1,0,,,,,
LineIs,1.74,-157.22,0.90,0.12,0.12,0,0,0,2787.5,147.5,147.5,1,0,1,1,0,,,,,
LineIs,1.75,-157.24,0.91,0.12,0.12,0,0,0,3666,177,177,1,0,1,1,0,,,,,
LineIs,1.75,-157.23,0.97,0.12,0.12,0,0,0,1734,161,161,1,0,1,1,0,,,,,
LineIs,1.76,-157.26,0.97,0.12,0.12,0,0,0,4176.5,182.5,182.5,1,0,1,1,0,,,,,
LineIs,1.71,-157.23,0.98,0.12,0.12,0,0,0,1841,150,150,1,0,1,1,0,,,,,
LineIs,1.75,-157.24,0.98,0.12,0.12,0,0,0,3595.5,170.5,170.5,1,0,1,1,0,,,,,
LineIs,1.75,-157.24,1.00,0.12,0.12,0,0,0,5130,175,175,1,0,1,1,0,,,,,
LineIs,1.73,-157.24,0.94,0.12,0.12,0,0,0,2872.5,162.5,162.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.37,1.29,0.12,0.12,0,0,0,3036,217,217,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.30,0.12,0.12,0,0,0,1868.5,188.5,188.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.32,0.12,0.12,0,0,0,1656,155,155,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.34,0.12,0.12,0,0,0,3868.5,179.5,179.5,1,0,1,1,0,,,,,
LineIs,1.97,-157.32,1.39,0.12,0.12,0,0,0,3224.5,172.5,172.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.40,0.12,0.12,0,0,0,1980,165,165,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.41,0.12,0.12,0,0,0,1835,9,9,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.42,0.12,0.12,0,0,0,1838,9,9,1,0,1,1,0,,,,,
LineIs,1.80,-157.33,1.42,0.12,0.12,0,0,0,4682.5,157.5,157.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.43,0.12,0.12,0,0,0,3918.5,173.5,173.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.44,0.12,0.12,0,0,0,3739,172,172,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.44,0.12,0.12,0,0,0,1928,162,162,1,0,1,1,0,,,,,
LineIs,1.97,-157.32,1.45,0.12,0.12,0,0,0,2855,157,157,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.47,0.12,0.12,0,0,0,3630.5,194.5,194.5,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.48,0.12,0.12,0,0,0,1880,157,157,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.49,0.12,0.12,0,0,0,1904.5,165.5,165.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.49,0.12,0.12,0,0,0,1974,37,37,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.51,0.12,0.12,0,0,0,1615,200,200,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.51,0.12,0.12,0,0,0,3596,240,240,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.51,0.12,0.12,0,0,0,2204,148,148,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.51,0.12,0.12,0,0,0,1457.5,180.5,180.5,1,0,1,1,0,,,,,
LineIs,1.98,-157.33,1.52,0.12,0.12,0,0,0,3025.5,184.5,184.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.53,0.12,0.12,0,0,0,1919.5,205.5,205.5,1,0,1,1,0,,,,,
LineIs,1.80,-157.33,1.53,0.12,0.12,0,0,0,4707,177,177,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.53,0.12,0.12,0,0,0,2700,580,580,1,0,1,1,0,,,,,
LineIs,1.83,-157.38,1.53,0.12,0.12,0,0,0,5242.5,186.5,186.5,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.55,0.12,0.12,0,0,0,1592.5,152.5,152.5,1,0,1,1,0,,,,,
