SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
Beta-361585,Kimberley Coast,,-16.15,123.61,-6.294,7.418451927,7.418451927,0,0,0,1696.5,182.5,167.5,2,0,2,3,8,0
Beta-361584,Kimberley Coast,,-16.15,123.61,1.613,8.76261542,8.76261542,0,0,0,2279,203,187,2,0,2,3,1,0
Beta-361580,Kimberley Coast,,-16.15,123.61,0.663,8.76261542,8.76261542,0,0,0,2403,253,159,2,0,2,3,1,0
Beta-361583,Kimberley Coast,,-16.15,123.61,-0.757,8.76261542,8.76261542,0,0,0,2883,187,156,2,0,2,3,1,0
Beta-361579,Kimberley Coast,,-16.15,123.61,-2.667,8.76261542,8.76261542,0,0,0,2883,187,156,2,0,2,3,1,0
Beta-361578,Kimberley Coast,,-16.15,123.61,-2.177,10.61995428,10.61995428,0,0,0,2928,199,170,2,0,2,3,0,0
Beta-361577,Kimberley Coast,,-16.15,123.61,4.763,9.221357221,9.221357221,0,0,0,3183,177,196,2,0,2,3,4,0
Beta-361582,Kimberley Coast,,-16.15,123.61,2.623,8.76261542,8.76261542,0,0,0,3525.5,195.5,167.5,2,0,2,3,1,0
Beta-364239,Kimberley Coast,,-16.15,123.61,1.553,8.76261542,8.76261542,0,0,0,3739.5,180.5,207.5,2,0,2,3,1,0
Beta-361581,Kimberley Coast,,-16.15,123.61,-0.357,8.76261542,8.76261542,0,0,0,4783.5,187.5,208.5,2,0,2,3,1,0
Beta-364238,Kimberley Coast,,-16.15,123.61,-1.956,8.76261542,8.76261542,0,0,0,5227,200,214,2,0,2,3,1,0
Beta-361576,Kimberley Coast,,-16.15,123.61,-4.23,8.76261542,8.76261542,0,0,0,7699,164,146,2,0,2,3,1,0
Beta-361575,Kimberley Coast,,-16.15,123.61,-6.257,8.76261542,8.76261542,0,0,0,7868,135,175,2,0,2,3,1,0
Beta-364241,Kimberley Coast,,-16.15,123.61,-10.087,6.146822675,6.146822675,0,0,0,8107.5,182.5,149.5,2,0,2,3,3,0
Beta-361574,Kimberley Coast,,-16.15,123.61,-9.117,6.559986966,6.559986966,0,0,0,8247.5,149.5,194.5,2,0,2,3,5,0
Beta-361573,Kimberley Coast,,-16.15,123.61,-12.087,6.146822675,6.146822675,0,0,0,8680.5,273.5,198.5,2,0,2,3,3,0
Beta-385993,Kimberley Coast,,-16.41,123.123,2.8,8.76261542,8.76261542,0,0,0,7242,76,78,2,0,2,3,1,0
Beta-385989,Kimberley Coast,,-16.41,123.123,7.5,8.76261542,8.76261542,0,0,0,1722,103,110,2,0,2,3,1,0
Beta-385990,Kimberley Coast,,-16.41,123.123,-1,3.575392146,3.575392146,0,0,0,2734,42,216,-1,0,2,3,0,0
Beta-389408,Kimberley Coast,,-16.41,123.123,-0.1,3.575392146,3.575392146,0,0,0,5039,241,166,-1,0,2,3,0,0
Beta-389409,Kimberley Coast,,-16.41,123.123,-1.6,3.575392146,3.575392146,0,0,0,5461,119,137,-1,0,2,3,0,0
Beta-391789,Kimberley Coast,,-16.41,123.123,-0.7,3.575392146,3.575392146,0,0,0,2464,235,114,-1,0,2,3,0,0
Beta-389405,Kimberley Coast,,-16.41,123.123,-5.6,3.575392146,3.575392146,0,0,0,7298,122,127,-1,0,2,3,0,0
Beta-389406,Kimberley Coast,,-16.41,123.123,-8.4,3.575392146,3.575392146,0,0,0,7683,98,73,-1,0,2,3,0,0
Beta-389469,Kimberley Coast,,-16.41,123.123,3.7,8.76261542,8.76261542,0,0,0,5512,73,183,2,0,2,3,1,0
Beta-397764,Kimberley Coast,,-16.41,123.123,-0.2,3.575392146,3.575392146,0,0,0,1206,64,132,-1,0,2,3,0,0
Beta-397765,Kimberley Coast,,-16.41,123.123,-1.2,3.575392146,3.575392146,0,0,0,2954,119,102,-1,0,2,3,0,0
Beta-397767,Kimberley Coast,,-16.41,123.123,-1.9,3.575392146,3.575392146,0,0,0,1224,62,116,-1,0,2,3,0,0
Beta-385995,Kimberley Coast,,-16.407,123.186,4.9,8.76261542,8.76261542,0,0,0,2782,70,40,2,0,2,3,2,0
Beta-389471,Kimberley Coast,,-16.407,123.186,-2.8,3.575392146,3.575392146,0,0,0,3400,53,128,-1,0,2,3,3,0
Beta-389474,Kimberley Coast,,-16.407,123.186,4.6,8.76261542,8.76261542,0,0,0,1475,81,97,2,0,2,3,1,0
Beta-389476,Kimberley Coast,,-16.407,123.186,2.2,8.76261542,8.76261542,0,0,0,6688,96,126,2,0,2,3,1,0
Beta-385997,Kimberley Coast,,-16.407,123.186,-2.8,3.575392146,3.575392146,0,0,0,2855,98,81,-1,0,2,3,0,0
Beta-385998,Kimberley Coast,,-16.407,123.186,-2.6,3.575392146,3.575392146,0,0,0,4665,156,140,-1,0,2,3,0,0
Beta-389480,Kimberley Coast,,-16.079,123.525,3.2,8.76261542,8.76261542,0,0,0,2338,148,185,2,0,2,3,1,0
Beta-389414,Kimberley Coast,,-16.079,123.534,6.8,7.418451927,7.418451927,0,0,0,645,34,82,2,0,2,3,8,0
Beta-389415,Kimberley Coast,,-16.079,123.534,4.6,7.418451927,7.418451927,0,0,0,2767,80,38,2,0,2,3,8,0
Beta-389416,Kimberley Coast,,-16.079,123.534,1.9,8.76261542,8.76261542,0,0,0,3236,119,156,2,0,2,3,1,0
Beta-389485,Kimberley Coast,,-16.079,123.534,4.8,8.76261542,8.76261542,0,0,0,2234,101,96,2,0,2,3,1,0
Beta-391046,Kimberley Coast,,-16.079,123.534,-1.3,3.575392146,3.575392146,0,0,0,1964,86,74,-1,0,2,3,0,0
Beta-391047,Kimberley Coast,,-16.079,123.534,-1.8,3.575392146,3.575392146,0,0,0,2896,99,115,-1,0,2,3,0,0
Beta-391048,Kimberley Coast,,-16.079,123.534,-2.7,3.575392146,3.575392146,0,0,0,3372,75,119,-1,0,2,3,0,0
Beta-385991,Kimberley Coast,,-16.41,123.123,15.4,14.44934009,14.44934009,0,0,0,3875,105,151,2,0,2,3,7,0
Beta-385992,Kimberley Coast,,-16.41,123.123,8.4,11.56647868,11.56647868,0,0,0,6474,150,78,2,0,2,3,6,0
Beta-385988,Kimberley Coast,,-16.41,123.123,16,14.44934009,14.44934009,0,0,0,120,157,119,2,0,2,3,7,0
Beta-389407,Kimberley Coast,,-16.41,123.123,0.2,3.575392146,3.575392146,0,0,0,392,95,78,-1,0,2,3,0,0
Beta-391788,Kimberley Coast,,-16.41,123.123,-0.2,3.575392146,3.575392146,0,0,0,606,46,61,-1,0,2,3,0,0
Beta-389404,Kimberley Coast,,-16.41,123.123,13,14.44934009,14.44934009,0,0,0,96,164,95,2,0,2,3,7,0
Beta-397766,Kimberley Coast,,-16.41,123.123,-1.1,3.575392146,3.575392146,0,0,0,70,182,66,-1,0,2,3,0,0
Beta-389410,Kimberley Coast,,-16.407,123.186,14,14.44934009,14.44934009,0,0,0,91,164,90,2,0,2,3,7,0
